Botanical name,Common name,Genus,iNat taxon,iNat ID
Acanthocereus tetragonus,Fairy Castle Cactus,Acanthocereus,Acanthocereus tetragonus,157908
Ancistrocactus brevihamatus,Shorthook Fishhook Cactus,Ancistrocactus,Ancistrocactus brevihamatus,344405
Ancistrocactus scheeri,Scheer Fishhook Cactus,Ancistrocactus,Ancistrocactus scheeri,870745
Ariocarpus fissuratus,Dry Whiskey Cactus,Ariocarpus,Ariocarpus fissuratus,158650
Astrophytum asterias,Star Peyote,Astrophytum,Astrophytum asterias,135434
Bergerocactus emoryi,Golden-spined Cereus,Bergerocactus,Bergerocactus emoryi,75759
Carnegiea gigantea,Saguaro,Carnegiea,Carnegiea gigantea,54449
Cochemiea dioica,Strawberry Fishhook Cactus,Cochemiea,Cochemiea dioica,1550567
Cochemiea grahamii,Graham's Nipple Cactus,Cochemiea,Cochemiea grahamii,1550566
Cochemiea tetrancistra,Common Fishhook Cactus,Cochemiea,Cochemiea tetrancistra,1544319
Escobaria alversonii,Foxtail Cactus,Escobaria,Escobaria alversonii,143721
Escobaria chlorantha,Mojave spinystar,Escobaria,Escobaria chlorantha,868396
Escobaria dasyacantha,Desert Beehive Cactus,Escobaria,Escobaria dasyacantha,162728
Escobaria duncanii,Duncan Beehive Cactus,Escobaria,Escobaria duncanii,274340
Coryphantha echinus,Sea Urchin Cactus,Coryphantha,Coryphantha echinus,160929
Coryphantha macromeris,Nipple Beehive Cactus,Coryphantha,Coryphantha macromeris,160930
Escobaria missouriensis,Missouri Foxtail Cactus,Escobaria,Escobaria missouriensis,162733
Coryphantha nickelsiae,Nickels's Pincushion Cactus,Coryphantha,Coryphantha nickelsiae,160931
Coryphantha ramillosa,Whiskerbush,Coryphantha,Coryphantha ramillosa,160932
Coryphantha recurvata,Santa Cruz Beehive Cactus,Coryphantha,Coryphantha recurvata,160933
Coryphantha robertsii,Junior Tom Thumb Cactus,Coryphantha,,
Coryphantha robustispina,Pima Pineapple,Coryphantha,Coryphantha robustispina,190941
Escobaria sneedii,Sneed Beehive Cactus,Escobaria,Escobaria sneedii,162738
Coryphantha sulcata,Pineapple Cactus,Coryphantha,Coryphantha sulcata,160935
Escobaria tuberculosa,Cob Beehive Cactus,Escobaria,Escobaria tuberculosa,162739
Escobaria vivipara,Common Beehive Cactus,Escobaria,Escobaria vivipara,148405
Cylindropuntia abyssi,Peach Springs Canyon Cholla,Cylindropuntia,Cylindropuntia abyssi,49353
Cylindropuntia acanthocarpa,Buckhorn Cholla,Cylindropuntia,Cylindropuntia acanthocarpa,49354
Cylindropuntia arbuscula,Arizona Pencil Cholla,Cylindropuntia,Cylindropuntia arbuscula,274274
Cylindropuntia bernardina,Cane cholla,Cylindropuntia,Cylindropuntia bernardina,1361199
Cylindropuntia bigelovii,Teddy Bear Cholla,Cylindropuntia,Cylindropuntia bigelovii,49351
Cylindropuntia californica,California Cholla,Cylindropuntia,Cylindropuntia californica,76564
Cylindropuntia chuckwallensis,Chuckwalla Cholla,Cylindropuntia,Cylindropuntia chuckwallensis,474848
Cylindropuntia davisii,Thistle Cholla,Cylindropuntia,Cylindropuntia davisii,274277
Cylindropuntia echinocarpa,Silver Cholla,Cylindropuntia,Cylindropuntia echinocarpa,49357
Cylindropuntia fosbergii,Hoffmann's Teddybear Cholla,Cylindropuntia,Cylindropuntia fosbergii,321642
Cylindropuntia fulgida,Jumping Cholla,Cylindropuntia,Cylindropuntia fulgida,129418
Cylindropuntia ganderi,Gander's Buckhorn Cholla,Cylindropuntia,Cylindropuntia ganderi,76565
Cylindropuntia imbricata,Cane Cholla,Cylindropuntia,Cylindropuntia imbricata,273618
Cylindropuntia kleiniae,Klein's Pencil Cactus,Cylindropuntia,Cylindropuntia kleiniae,274278
Cylindropuntia leptocaulis,Pencil Cactus,Cylindropuntia,Cylindropuntia leptocaulis,202757
Cylindropuntia munzii,Munz's Cholla,Cylindropuntia,Cylindropuntia munzii,76566
Cylindropuntia prolifera,Coastal Cholla,Cylindropuntia,Cylindropuntia prolifera,76567
Cylindropuntia ramosissima,Diamond Cholla,Cylindropuntia,Cylindropuntia ramosissima,68416
Cylindropuntia rosea,Hudson Pear,Cylindropuntia,Cylindropuntia imbricata rosea,1039189
Cylindropuntia spinosior,Spiny Cholla,Cylindropuntia,Cylindropuntia imbricata spinosior,1039188
Cylindropuntia tunicata,Sheathed Cholla,Cylindropuntia,Cylindropuntia tunicata,274441
Cylindropuntia versicolor,Staghorn Cholla,Cylindropuntia,Cylindropuntia thurberi versicolor,1039186
Cylindropuntia whipplei,Whipple Cholla,Cylindropuntia,Cylindropuntia whipplei,472472
Cylindropuntia wolfii,Wolf's Cholla,Cylindropuntia,Cylindropuntia wolfii,76568
Echinocereus bonkerae,Bonker Hedgehog Cactus,Echinocereus,Echinocereus bonkerae,274475
Echinocactus horizonthalonius,Devilshead,Echinocactus,Echinocactus horizonthalonius,162172
Homalocephala texensis,Horse Crippler,Homalocephala,Homalocephala texensis,870496
Echinocereus arizonicus,Arizona Claret-cup Cactus,Echinocereus,Echinocereus arizonicus,438544
Echinocereus berlandieri,Berlandier's Hedgehog Cactus,Echinocereus,Echinocereus berlandieri,162174
Echinocereus boyce-thompsonii,Boyce Thompson Hedgehog Cactus,Echinocereus,,
Echinocereus chisosensis,Chisos Mountain Hedgehog Cactus,Echinocereus,Echinocereus chisosensis,438545
Echinocereus coccineus,Scarlet Hedgehog Cactus,Echinocereus,Echinocereus coccineus,162177
Echinocereus dasyacanthus,Texas Rainbow Cactus,Echinocereus,Echinocereus dasyacanthus,244905
Echinocereus engelmannii,Strawberry Hedgehog Cactus,Echinocereus,Echinocereus engelmannii,76754
Echinocereus enneacanthus,Strawberry Cactus,Echinocereus,Echinocereus enneacanthus,162178
Echinocereus fasciculatus,Robust Hedgehog Cactus,Echinocereus,Echinocereus engelmannii fasciculatus,856951
Echinocereus fendleri,Pinkflower Hedgehog Cactus,Echinocereus,Echinocereus fendleri,83647
Echinocereus ledingii,Leding's Hedgehog Cactus,Echinocereus,Echinocereus ledingii,325042
Echinocereus nicholii,Nichol's Hedgehog Cactus,Echinocereus,Echinocereus nicholii,162180
Echinocereus papillosus,Yellow-flowered Alicoche,Echinocereus,Echinocereus papillosus,162181
Echinocereus pectinatus,Rainbow Hedgehog Cactus,Echinocereus,Echinocereus pectinatus,162182
Echinocereus pentalophus,Lady Finger Cactus,Echinocereus,Echinocereus pentalophus,162183
Echinocereus poselgeri,Dahlia Hedgehog Cactus,Echinocereus,Echinocereus poselgeri,162185
Echinocereus pseudopectinatus,Devilthorn,Echinocereus,Echinocereus pseudopectinatus,162186
Echinocereus reichenbachii,Lace Hedgehog Cactus,Echinocereus,Echinocereus reichenbachii,162187
Echinocereus rigidissimus,Arizona Rainbow Cactus,Echinocereus,Echinocereus rigidissimus,162188
