XENA — DESERT SOUTHWEST CACTUS CHECKLIST
==========================================================================
Source: "Types of Cactus in the U.S." by Erik Gauger, Notes from the Road
        https://www.notesfromtheroad.com/desertsouthwest/cactus-species.html
        (updated June 25, 2024 — page lists 193 species)

	Book sources:
	
	1. Cacti of the Southwest by Rick and Nora Bowers
	2. The Cacti of Arizona by Lyman Benson
	3. The Native Cacti of California by Benson
	4. Field guide to Cacti & other succulents of Arizona by Breslin
	5. The Jepson Desert Manual 
	6. Colorado Cacti by Boissevain
	7. 

METHODOLOGY
--------------------------------------------------------------------------
Included if the species description places it (even partially) in the
Desert Southwest: AZ, NM, UT, NV, CA, CO, or TX.
Excluded only if the description places it exclusively in FL, PR, the
Caribbean, or the Midwest/Eastern US with no Southwest range at all.

TOTAL: 
This is the working denominator for Xena's overall progress bar.

==========================================================================
Scientific Name                              Common Name                         Genus
--------------------------------------------------------------------------
Acanthocereus tetragonus                     Fairy Castle Cactus                 Acanthocereus
Ancistrocactus brevihamatus                  Shorthook Fishhook Cactus           Ancistrocactus
Ancistrocactus scheeri                       Scheer Fishhook Cactus              Ancistrocactus
Ariocarpus fissuratus                        Dry Whiskey Cactus                  Ariocarpus
Astrophytum asterias                         Star Peyote                         Astrophytum
Bergerocactus emoryi                         Golden-spined Cereus                Bergerocactus
Carnegiea gigantea                           Saguaro                             Carnegiea
Cochemiea dioica                             Strawberry Fishhook Cactus          Cochemiea
Cochemiea grahamii                           Graham's Nipple Cactus              Cochemiea
Cochemiea tetrancistra                       Common Fishhook Cactus              Cochemiea
Coryphantha alversonii                       Foxtail Cactus                      Coryphantha
Coryphantha chlorantha                       Mojave spinystar                    Coryphantha
Coryphantha dasyacantha                      Desert Beehive Cactus               Coryphantha
Coryphantha duncanii                         Duncan Beehive Cactus               Coryphantha
Coryphantha echinus                          Sea Urchin Cactus                   Coryphantha
Coryphantha macromeris                       Nipple Beehive Cactus               Coryphantha
Coryphantha missouriensis                    Missouri Foxtail Cactus             Coryphantha
Coryphantha nickelsiae                       Nickels's Pincushion Cactus         Coryphantha
Coryphantha ramillosa                        Whiskerbush                         Coryphantha
Coryphantha recurvata                        Santa Cruz Beehive Cactus           Coryphantha
Coryphantha robertsii                        Junior Tom Thumb Cactus             Coryphantha
Coryphantha robustispina                     Pima Pineapple                      Coryphantha
Coryphantha sneedii                          Sneed Beehive Cactus                Coryphantha
Coryphantha sulcata                          Pineapple Cactus                    Coryphantha
Coryphantha tuberculosa                      Cob Beehive Cactus                  Coryphantha
Coryphantha vivipara                         Common Beehive Cactus               Coryphantha
Cylindropuntia abyssi                        Peach Springs Canyon Cholla         Cylindropuntia
Cylindropuntia acanthocarpa                  Buckhorn Cholla                     Cylindropuntia
Cylindropuntia arbuscula                     Arizona Pencil Cholla               Cylindropuntia
Cylindropuntia bernardina                    Cane cholla                         Cylindropuntia
Cylindropuntia bigelovii                     Teddy Bear Cholla                   Cylindropuntia
Cylindropuntia californica                   California Cholla                   Cylindropuntia
Cylindropuntia chuckwallensis                Chuckwalla Cholla                   Cylindropuntia
Cylindropuntia davisii                       Thistle Cholla                      Cylindropuntia
Cylindropuntia echinocarpa                   Silver Cholla                       Cylindropuntia
Cylindropuntia fosbergii                     Hoffmann's Teddybear Cholla         Cylindropuntia
Cylindropuntia fulgida                       Jumping Cholla                      Cylindropuntia
Cylindropuntia ganderi                       Gander's Buckhorn Cholla            Cylindropuntia
Cylindropuntia imbricata                     Cane Cholla                         Cylindropuntia
Cylindropuntia kleiniae                      Klein's Pencil Cactus               Cylindropuntia
Cylindropuntia leptocaulis                   Pencil Cactus                       Cylindropuntia
Cylindropuntia munzii                        Munz's Cholla                       Cylindropuntia
Cylindropuntia prolifera                     Coastal Cholla                      Cylindropuntia
Cylindropuntia ramosissima                   Diamond Cholla                      Cylindropuntia
Cylindropuntia rosea                         Hudson Pear                         Cylindropuntia
Cylindropuntia spinosior                     Spiny Cholla                        Cylindropuntia
Cylindropuntia tunicata                      Sheathed Cholla                     Cylindropuntia
Cylindropuntia versicolor                    Staghorn Cholla                     Cylindropuntia
Cylindropuntia whipplei                      Whipple Cholla                      Cylindropuntia
Cylindropuntia wolfii                        Wolf's Cholla                       Cylindropuntia
Echinocereus bonkerae                        Bonker Hedgehog Cactus              Echinocereus
Echinocactus horizonthalonius                Devilshead                          Echinocactus
Echinocactus texensis                        Horse Crippler                      Echinocactus
Echinocereus arizonicus                      Arizona Claret-cup Cactus           Echinocereus
Echinocereus berlandieri                     Berlandier's Hedgehog Cactus        Echinocereus
Echinocereus boyce-thompsonii                Boyce Thompson Hedgehog Cactus      Echinocereus
Echinocereus chisoensis                      Chisos Mountain Hedgehog Cactus     Echinocereus
Echinocereus coccineus                       Scarlet Hedgehog Cactus             Echinocereus
Echinocereus dasyacanthus                    Texas Rainbow Cactus                Echinocereus
Echinocereus engelmannii                     Strawberry Hedgehog Cactus          Echinocereus
Echinocereus enneacanthus                    Strawberry Cactus                   Echinocereus
Echinocereus fasciculatus                    Robust Hedgehog Cactus              Echinocereus
Echinocereus fendleri                        Pinkflower Hedgehog Cactus          Echinocereus
Echinocereus ledingii                        Leding's Hedgehog Cactus            Echinocereus
Echinocereus nicholii                        Nichol's Hedgehog Cactus            Echinocereus
Echinocereus papillosus                      Yellow-flowered Alicoche            Echinocereus
Echinocereus pectinatus                      Rainbow Hedgehog Cactus             Echinocereus
Echinocereus pentalophus                     Lady Finger Cactus                  Echinocereus
Echinocereus poselgeri                       Dahlia Hedgehog Cactus              Echinocereus
Echinocereus pseudopectinatus                Devilthorn                          Echinocereus
Echinocereus reichenbachii                   Lace Hedgehog Cactus                Echinocereus
Echinocereus rigidissimus                    Arizona Rainbow Cactus              Echinocereus
